lap_location,world_location,velocity
0.000823087349999696,"(-127.50044250488281, -0.3965092599391937, -822.01904296875)","(7.389479160308838, 0.032782942056655884, 0.5707447528839111)"
0.0008733055437915027,"(-127.25691986083984, -0.39543870091438293, -822.0017700195312)","(7.370915412902832, 0.031971000134944916, 0.48037827014923096)"
0.0009251129231415689,"(-127.0140380859375, -0.39440491795539856, -821.9878540039062)","(7.351029872894287, 0.030844029039144516, 0.3663453459739685)"
0.0009734241175465286,"(-126.7718505859375, -0.3934124708175659, -821.9781494140625)","(7.328664779663086, 0.029518239200115204, 0.2311004400253296)"
0.001022147131152451,"(-126.53047943115234, -0.3924602270126343, -821.9732666015625)","(7.302692413330078, 0.028383731842041016, 0.07545279711484909)"
0.0010731554357334971,"(-126.29002380371094, -0.3915301561355591, -821.973876953125)","(7.27193021774292, 0.028223147615790367, -0.09972111880779266)"
0.0011254154378548265,"(-126.02899169921875, -0.39050358533859253, -821.9813232421875)","(7.230895042419434, 0.028795139864087105, -0.30573970079421997)"
0.0011767367832362652,"(-125.79118347167969, -0.38954177498817444, -821.9949951171875)","(7.185232162475586, 0.02958557941019535, -0.5081920623779297)"
0.0012258674250915647,"(-125.5550308227539, -0.3885432183742523, -822.0155639648438)","(7.129374027252197, 0.030689662322402, -0.7213431000709534)"
0.0012768757296726108,"(-125.32086944580078, -0.38751599192619324, -822.0430908203125)","(7.064994812011719, 0.031645677983760834, -0.9449763894081116)"
0.0013229604810476303,"(-125.08903503417969, -0.3864215016365051, -822.0783081054688)","(6.989683151245117, 0.03457894176244736, -1.17048978805542)"
0.0013747380580753088,"(-124.85948181152344, -0.38521820306777954, -822.1203002929688)","(6.934016704559326, 0.03851829469203949, -1.3424140214920044)"
0.0014222008176147938,"(-124.63096618652344, -0.38390374183654785, -822.1655883789062)","(6.919384002685547, 0.0407920777797699, -1.3754960298538208)"
0.0014749029651284218,"(-124.40278625488281, -0.3825339376926422, -822.21044921875)","(6.910537242889404, 0.041213326156139374, -1.3459223508834839)"
0.001523290411569178,"(-124.17491149902344, -0.38127171993255615, -822.2538452148438)","(6.90048360824585, 0.035467199981212616, -1.2888896465301514)"
0.0015735269989818335,"(-123.94744873046875, -0.3802283704280853, -822.2948608398438)","(6.886260032653809, 0.028024882078170776, -1.1838456392288208)"
0.00162832485511899,"(-123.69962310791016, -0.3792779743671417, -822.3355102539062)","(6.881341934204102, 0.025154005736112595, -1.0799200534820557)"
0.0016745658358559012,"(-123.47250366210938, -0.37847045063972473, -822.3695678710938)","(6.889726638793945, 0.02416072227060795, -1.0006980895996094)"
0.0017171562649309635,"(-123.24458312988281, -0.3776492774486542, -822.4014282226562)","(6.922765731811523, 0.026068147271871567, -0.9373182654380798)"
0.0017685688799247146,"(-123.01606750488281, -0.3767508268356323, -822.4312133789062)","(6.917415618896484, 0.027736473828554153, -0.8784079551696777)"
0.0018166352529078722,"(-122.78823852539062, -0.37581896781921387, -822.4594116210938)","(6.897689342498779, 0.02861352264881134, -0.8400015234947205)"
0.0018686563707888126,"(-122.56077575683594, -0.3748629093170166, -822.48681640625)","(6.887662887573242, 0.029519034549593925, -0.8228874802589417)"
0.001914897351525724,"(-122.3338394165039, -0.3738422691822052, -822.5137329101562)","(6.86753511428833, 0.032485198229551315, -0.824769914150238)"
0.001960296416655183,"(-122.10749053955078, -0.3726988136768341, -822.540771484375)","(6.851686477661133, 0.03627684712409973, -0.8150731325149536)"
0.0020124418660998344,"(-121.86117553710938, -0.3713240623474121, -822.5692749023438)","(6.8353142738342285, 0.04009221866726875, -0.7671838402748108)"
0.002065793378278613,"(-121.63587951660156, -0.36994051933288574, -822.593505859375)","(6.820190906524658, 0.043001092970371246, -0.7079322934150696)"
0.0021079920697957277,"(-121.41102600097656, -0.36849161982536316, -822.6156616210938)","(6.810547351837158, 0.04458191245794296, -0.6462903618812561)"
0.002154712099581957,"(-121.18631744384766, -0.3669842779636383, -822.6375732421875)","(6.803262233734131, 0.0459141880273819, -0.6929901242256165)"
0.002201432129368186,"(-120.96237182617188, -0.36551064252853394, -822.6614990234375)","(6.772068977355957, 0.04330508038401604, -0.7446754574775696)"
0.002250825986266136,"(-120.7392807006836, -0.3641376793384552, -822.6862182617188)","(6.753284454345703, 0.04006173834204674, -0.7420941591262817)"
